Name,Distance,Kindergarten,First,Third,Fifth,Eighth
0294005C,25.010,66.061,52.763,48.28,45.9,50.663
0834006C,27.209,60.657,56.089,57.356,0.0,0.0
0273022C,28.143,57.88,53.073,51.347,49.854,50.359
0635016C,23.778,60.905,56.048,55.962,0.0,0.0
0748015C,29.148,57.139,52.895,52.017,55.258,49.081
0885018C,25.929,60.828,60.116,57.359,60.814,50.158
3102014C,28.938,57.401,52.747,57.147,0.0,0.0
0196018C,24.964,56.679,55.383,56.31,57.075,64.429
0647017C,29.078,61.412,59.832,56.958,0.0,0.0
0288001C,28.763,58.759,50.692,56.951,56.919,70.676
0401014C,27.879,63.965,51.383,54.957,50.271,46.446
0717013C,28.548,63.433,60.035,53.287,55.424,63.28
0887006C,28.938,58.611,51.237,50.695,0.0,0.0
1188013C,24.705,57.275,55.636,56.0,56.029,58.656
0253023C,29.234,65.04,56.747,52.014,45.86,0.0
0044002C,28.603,60.019,60.244,58.045,63.326,60.735
0057022C,28.555,61.872,53.963,61.823,55.245,63.845
2046002C,16.918,59.934,59.673,52.519,54.395,51.065
0044022C,28.644,62.534,58.554,61.725,55.41,56.474
0414004C,27.032,52.876,54.181,51.35,52.905,0.0
0737018C,18.030,59.49,57.144,51.201,42.994,46.94
2095014C,25.947,61.432,49.297,49.491,55.033,66.377
1045018C,28.945,67.497,53.017,51.584,56.119,55.673
0095016C,25.719,63.895,57.392,53.199,49.58,48.7
3103001C,24.682,64.551,57.573,57.606,56.175,52.917
0829005C,25.615,56.129,57.715,57.697,62.198,65.37
0122009C,26.204,61.349,51.906,56.531,0.0,0.0
0028006C,27.973,63.195,58.71,58.326,57.247,63.793
0212018C,22.790,60.929,53.347,50.964,0.0,0.0
0481002C,28.434,67.662,64.383,56.126,45.628,57.0
0753012C,23.938,55.032,55.819,57.628,55.162,57.072
0318009C,27.529,60.657,55.465,51.321,0.0,0.0
0333018C,28.726,68.958,53.534,56.335,64.289,59.929
0044023C,28.583,63.834,52.219,57.334,56.201,0.0
2066002C,26.407,65.082,53.777,52.7,0.0,0.0
1204023C,24.903,59.474,52.423,56.06,63.965,60.326
1189011C,28.549,68.138,58.574,56.834,0.0,0.0
0377017C,29.045,58.22,54.843,52.02,55.685,52.904
0601006C,28.621,62.24,51.846,57.131,0.0,0.0
0474014C,25.172,53.54,52.368,52.105,55.844,54.308
0663005C,28.583,60.669,56.368,50.028,45.685,0.0
1204009C,28.792,58.721,59.494,57.4,55.768,47.927
0527020C,29.143,55.816,51.857,51.305,51.469,49.728
0414016C,22.546,61.027,56.776,57.596,54.891,53.842
0376008C,26.599,54.165,52.539,52.722,61.913,57.224
0891019C,25.662,59.297,55.323,51.549,56.155,0.0
0598002C,26.826,58.959,54.159,53.3,59.98,56.209
0671009C,24.455,55.174,56.073,55.949,0.0,0.0
1274022C,27.537,60.435,59.275,54.773,59.322,55.794
3102008C,27.099,67.804,57.765,62.531,0.0,0.0
0754012C,28.390,64.256,61.637,57.182,0.0,0.0
0376010C,28.888,55.801,57.004,53.765,0.0,0.0
1094009C,23.630,56.895,51.793,50.901,48.799,0.0
1265001C,26.337,63.533,60.0,57.248,0.0,0.0
0162015C,24.304,56.489,55.193,55.611,58.031,53.357
0052013C,22.536,60.728,56.646,56.983,58.564,43.171
0443011C,20.702,60.14,57.431,51.919,0.0,0.0
0376004C,28.444,58.035,57.653,54.821,61.264,62.167
0671008C,24.643,57.627,57.468,50.471,55.315,39.325
0489022C,27.459,57.025,57.264,56.591,50.503,0.0
1277008C,28.651,54.04,58.968,50.945,48.984,50.956
0750007C,24.410,52.192,52.228,51.919,52.661,46.515
0626009C,25.231,68.787,56.3,50.733,0.0,0.0
1165012C,24.571,56.76,54.867,55.971,67.357,56.376
3047004C,27.625,57.56,53.054,52.826,61.446,59.96
0162024C,23.004,64.543,56.506,50.446,54.639,51.577
0474007C,28.512,55.604,64.13,55.292,55.927,45.24
0343011C,25.996,62.57,59.296,50.926,48.504,0.0
0161006C,28.275,65.722,63.98,63.176,0.0,0.0
0243011C,28.786,60.885,56.72,51.467,49.461,46.111
1040016C,29.492,59.225,55.568,50.673,51.926,55.088
1194002C,21.254,61.587,56.6,53.025,58.137,0.0
0083002C,29.530,56.675,54.942,51.094,62.462,52.675
0474001C,28.448,57.139,56.64,52.715,55.89,0.0
1071012C,26.178,58.883,52.475,50.992,47.932,56.866
0443008C,24.926,60.091,52.329,46.867,49.934,57.005
0533002C,25.880,58.58,58.224,49.27,44.788,50.784
1147023C,28.996,62.092,59.456,50.563,0.0,0.0
0015014C,20.112,66.125,53.079,56.869,59.484,64.671
3006018C,27.314,67.087,55.176,59.86,63.449,57.675
0751013C,23.571,64.524,60.34,54.037,0.0,0.0
0737004C,27.056,56.349,53.561,58.908,63.267,69.265
3025004C,24.969,59.832,55.22,51.963,55.579,52.953
0196026C,25.397,65.019,57.039,51.252,49.831,52.688
3022011C,25.608,60.862,56.324,57.479,0.0,0.0
3006002C,21.690,72.694,59.99,54.002,60.364,54.828
1147024C,16.743,64.215,55.102,54.138,0.0,0.0
1204005C,28.279,62.472,55.857,55.374,54.17,0.0
1249009C,24.629,63.441,57.833,56.996,0.0,0.0
0665019C,24.768,58.391,58.387,57.087,55.401,45.961
0056009C,20.068,61.687,55.821,60.406,62.208,72.776
0288008C,21.040,61.361,53.983,51.369,62.059,53.708
3024007C,24.252,59.201,55.776,54.185,57.482,54.321
3054018C,24.617,59.111,56.588,56.556,0.0,0.0
1269019C,24.043,63.387,60.101,56.559,50.136,56.173
0952019C,28.019,60.007,55.469,50.891,49.576,47.373
0333014C,27.094,62.755,54.402,59.057,0.0,0.0
3038011C,25.924,60.848,59.238,50.787,0.0,0.0
2060019C,26.331,59.545,58.016,58.105,56.605,64.867
2046009C,19.607,62.81,59.805,51.151,49.901,50.743
