Name,Distance,Kindergarten,First,Third,Fifth,Eighth
1194002C,21.254,55.912,55.657,54.567,53.739,0.0
0083002C,29.530,58.781,54.232,52.6,57.436,57.886
0474001C,28.448,49.836,51.237,45.67,48.869,0.0
1071012C,26.178,51.268,52.402,53.73,59.505,59.31
0443008C,24.926,55.95,57.781,53.127,58.915,59.33
0533002C,25.880,55.838,57.243,53.547,49.179,48.97
1147023C,28.996,58.113,56.619,53.918,0.0,0.0
0015014C,20.112,57.739,51.473,51.977,59.293,60.001
3006018C,27.314,62.935,57.701,52.534,49.245,53.048
0751013C,23.571,55.433,55.098,51.382,0.0,0.0
0737004C,27.056,55.231,54.95,52.824,57.521,59.67
3025004C,24.969,52.787,56.718,52.298,64.147,58.534
0196026C,25.397,58.214,56.136,51.173,49.61,52.568
3022011C,25.608,54.648,57.464,56.765,0.0,0.0
3006002C,21.690,57.462,57.199,55.61,59.305,58.861
1147024C,16.743,54.673,54.921,54.396,0.0,0.0
1204005C,28.279,52.959,51.313,53.758,53.204,0.0
1249009C,24.629,62.185,56.798,54.172,0.0,0.0
0665019C,24.768,56.798,57.775,53.539,54.663,45.285
0056009C,20.068,52.415,55.133,54.002,56.309,67.724
0288008C,21.040,55.54,55.812,52.61,56.362,57.292
3024007C,24.252,52.045,58.002,48.436,49.241,44.08
3054018C,24.617,53.755,57.882,52.465,0.0,0.0
1269019C,24.043,52.392,59.721,50.42,52.992,54.843
0952019C,28.019,53.532,54.11,52.343,48.948,50.583
0333014C,27.094,60.583,58.664,50.672,0.0,0.0
3038011C,25.924,55.087,54.364,45.253,0.0,0.0
2060019C,26.331,55.198,56.358,55.154,53.561,60.759
2046009C,19.607,58.069,57.201,53.193,56.6,54.975
